"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",1995,10691.1450183172,6106.30031229034,18718.4671498441,9.27717110944467,0.285767880752461,"index"
"Coastwide",1998,7028.0309569366,4024.57214575859,12272.9118382717,8.8576618540976,0.284437863901021,"index"
"Coastwide",2001,7899.27539977108,4559.62472837475,13685.0191756176,8.97452631270047,0.280377963229043,"index"
"Coastwide",2004,28824.2609466418,15591.5235235309,53287.8020461687,10.26897270549,0.313521079290866,"index"
"OR",1995,172.156425920524,48.3224983128217,613.334078752817,5.14840351653792,0.648229391343773,"index"
"OR",1998,98.0379900240121,27.6675574920365,347.390530975304,4.58535505685869,0.645468258457871,"index"
"OR",2001,105.026640525945,29.3012211961829,376.455136334152,4.65421403727095,0.65133076583825,"index"
"OR",2004,785.025556459217,238.357274380841,2585.46807893705,6.66571627325148,0.608146670920929,"index"
"CA",1995,10518.9885923967,5998.43341388549,18446.3364635899,9.26093734026266,0.286578594433696,"index"
"CA",1998,6929.99296691259,3962.21775588429,12120.6873221787,8.84361407730791,0.285237328271301,"index"
"CA",2001,7794.24875924514,4493.21009286506,13520.4703242037,8.9611414021516,0.281035130481097,"index"
"CA",2004,28039.2353901826,15098.3498247327,52071.8310538937,10.2413600722383,0.315831996618386,"index"
"North of Cape Mendocino",1995,390.125249362115,161.126641513085,944.584388780254,5.96646783977591,0.451170122369531,"index"
"North of Cape Mendocino",1998,228.527368675192,96.882537271435,539.052338062633,5.43165597854553,0.437843091289127,"index"
"North of Cape Mendocino",2001,247.045498803821,99.662201773769,612.383405072354,5.50957252534768,0.463164653557704,"index"
"North of Cape Mendocino",2004,1586.71045319539,696.069660933843,3616.95129608417,7.3694182547283,0.420399822829927,"index"
"South of Cape Mendocino",1995,10301.0197689551,5854.23972085584,18125.4976461558,9.23999817601156,0.288309766981067,"index"
"South of Cape Mendocino",1998,6799.50358826141,3871.17213604598,11942.9587272248,8.82460488677318,0.287399295864317,"index"
"South of Cape Mendocino",2001,7652.22990096726,4400.43662282003,13307.0027991293,8.94275237466805,0.282297701177225,"index"
"South of Cape Mendocino",2004,27237.5504934465,14579.4653635104,50885.5529599759,10.212351833072,0.318874480490912,"index"
"North of Monterey Bay",1995,8773.37188422333,4797.59279382935,16043.8906607251,9.07947649085989,0.307968373809145,"index"
"North of Monterey Bay",1998,5750.66092236253,3178.59952142922,10403.9847804161,8.65707007020552,0.302492340767265,"index"
"North of Monterey Bay",2001,6457.32230240003,3480.01047077389,11981.8637522088,8.77297000657356,0.315403461411852,"index"
"North of Monterey Bay",2004,23903.7099111805,12451.6592505747,45888.4503678894,10.0817889522825,0.332750903218354,"index"
"South of Monterey Bay",1995,1917.77313409388,957.227006769192,3842.19601812706,7.55891996591037,0.35453681874372,"index"
"South of Monterey Bay",1998,1277.37003457409,614.213057079369,2656.52803440315,7.152558582714,0.373586822019154,"index"
"South of Monterey Bay",2001,1441.95309737106,772.815448762542,2690.45958947549,7.27375379122094,0.318227030092113,"index"
"South of Monterey Bay",2004,4920.55103546136,2415.24157289257,10024.5966135731,8.50117580229244,0.363078718098072,"index"
