"area","year","est","lwr","upr","log_est","se"
"Coastwide",1980,52668.7032346618,21026.9323007177,131925.678018481,10.8717766916059,0.468486825942352
"Coastwide",1983,21066.5110578174,9439.67051327485,47014.1290975187,9.95543990494355,0.409580765769176
"Coastwide",1986,31580.9234702827,15273.359606416,65300.2844781371,10.360308529633,0.37064106679105
"Coastwide",1989,72190.7160803076,41380.5198213365,125940.889836295,11.1870667304677,0.283934409763173
"Coastwide",1992,10256.6983803271,5483.50695144263,19184.7776608231,9.23568627164779,0.319488596058827
"Coastwide",1995,21986.7129785534,12190.1716564917,39656.1723020406,9.99819359436555,0.300928126687559
"Coastwide",1998,12289.6383734845,6762.39393732952,22334.5774811024,9.41651177767514,0.304791079478669
"Coastwide",2001,13314.9854796833,7247.52339700293,24461.9890978884,9.49664540772421,0.310327293483573
"Coastwide",2004,60029.0362370174,33232.2949619462,108433.233265155,11.002583661428,0.301692400561786
"WA",1980,18.888297846357,1.13012451227418,315.688927775542,2.9385425687375,1.43687066519802
"WA",1983,7.88300202421541,0.465329672653125,133.543430745512,2.06470879886011,1.44376017739648
"WA",1986,16.6511544136635,1.01154943095355,274.095298581999,2.81247954817691,1.42910600647701
"WA",1989,47.8007757645051,3.18467705870629,717.471229128866,3.86704186874867,1.38201058829236
"WA",1992,4.48625530655714,0.279786267958648,71.9352197749275,1.50101834632816,1.4157135866938
"WA",1995,8.393083046864,0.520114722116502,135.439048417816,2.12740791982881,1.41896168197509
"WA",1998,4.09332220979949,0.253147905842914,66.1877358117865,1.4093569165715,1.41999459761563
"WA",2001,4.32679310127959,0.267222752812932,70.0581756014852,1.46482664435643,1.42068903026899
"WA",2004,35.9060064528488,2.31725430787228,556.365909003663,3.58090459216368,1.3982509969384
"OR",1980,551.700035461173,159.25945959601,1911.17645319127,6.31300448455457,0.63392480716485
"OR",1983,228.178194582186,73.3362256273439,709.953205764286,5.43012687888425,0.579129101635634
"OR",1986,445.14196615344,146.022922578956,1356.98811208088,6.09839325635248,0.568699043347008
"OR",1989,1205.45713401756,460.944483442245,3152.49873716277,7.09461413831422,0.490486833699437
"OR",1992,125.415538791,43.7931321245994,359.167216573702,4.83163253432596,0.536823910207329
"OR",1995,241.897978848905,85.8812192734585,681.343752059061,5.48851606226444,0.528352000401149
"OR",1998,121.398754592328,43.5406587573196,338.480354620055,4.79908061986049,0.523165447081074
"OR",2001,128.960636386689,45.069974718765,369.000556158189,4.85950721350645,0.536382783576207
"OR",2004,929.812138743526,352.283085724886,2454.13602976663,6.83498256439123,0.495186390592701
"CA",1980,52098.1149013544,20788.0836470554,130565.838696689,10.8608840447712,0.468758024169559
"CA",1983,20830.4498612111,9327.12821606276,46521.0332021782,9.94417113081543,0.409950739787778
"CA",1986,31119.1303497155,15045.2761757313,64365.7359566891,10.3455780328413,0.370802062197436
"CA",1989,70937.4581705256,40613.0961692442,123903.94838958,11.1695538969911,0.284550145854008
"CA",1992,10126.7965862295,5412.10632037953,18948.6316469256,9.22294031684928,0.319672548776784
