"area","year","est","lwr","upr","log_est","se"
"Coastwide",1980,26200.5867308665,11184.1014874178,61379.1591406735,10.1735370838063,0.434338871402142
"Coastwide",1983,14488.5509796076,7489.76110706727,28027.3437947991,9.58111402890691,0.33664998593162
"Coastwide",1986,20207.487082524,10409.1534650614,39229.1780077012,9.91380846236613,0.338459088378558
"Coastwide",1989,28706.8628328472,18321.5538462673,44978.9346809029,10.2648914962581,0.229115457341471
"Coastwide",1992,7723.57658095939,4624.20172089662,12900.3098918396,8.95203282342326,0.261726130330693
"Coastwide",1995,11682.0425027158,7370.75196547822,18515.0874258737,9.36580811290179,0.234970186167573
"Coastwide",1998,10060.9947482732,6359.0464508442,15918.0493659303,9.21642132030337,0.234079609595432
"Coastwide",2001,13552.9392624897,8468.39969559841,21690.3038655823,9.5143587225251,0.239933944901674
"Coastwide",2004,41654.8590861361,25461.7613780062,68146.3964619766,10.6371733055233,0.251147601445386
"WA",1980,6.95335238246857,0.343781085962464,140.639236214584,1.93922390046959,1.53419865180559
"WA",1983,4.01626250527085,0.199442903183912,80.8771044431208,1.39035174511152,1.53195622572149
"WA",1986,7.9649493774026,0.398267483638637,159.290982042983,2.07505058771126,1.52843727809911
"WA",1989,14.312447178923,0.766241738536945,267.338796553412,2.66112959075205,1.49359232481501
"WA",1992,2.51253661895551,0.127983285990429,49.3255053793858,0.921292847987644,1.51898120233809
"WA",1995,3.30516425434727,0.168585554778223,64.7986167177003,1.19548617081221,1.51829222824594
"WA",1998,2.47533741165236,0.125127549869949,48.9683951127803,0.90637671466919,1.52288429848012
"WA",2001,3.25127173495518,0.163815256508336,64.5285922680869,1.1790462228657,1.52454954134829
"WA",2004,18.6976989942848,0.985496983732054,354.748876406438,2.9284004678555,1.50156314305312
"OR",1980,140.915158826362,45.1648522465309,439.657853382751,4.94815799882645,0.580540677594262
"OR",1983,80.6705600767698,29.5005966889534,220.596868996096,4.39037370173834,0.513255967858518
"OR",1986,147.95381662903,51.5794134997895,424.400557698971,4.99690017526259,0.537651484352005
"OR",1989,251.084717686694,101.795445633202,619.315874729511,5.52579040284862,0.460633483692325
"OR",1992,48.7671504650335,18.1047624742345,131.359633569552,3.88705693998614,0.505561287869004
"OR",1995,66.1061951606215,25.2038649263899,173.387258318406,4.19126246652968,0.49198103704122
"OR",1998,50.9253257421718,19.4510833722389,133.328758728558,3.93036035860045,0.491058813991873
"OR",2001,67.2166214834534,24.8994733674543,181.452600903413,4.20792056044851,0.506679671124667
"OR",2004,336.644220188862,133.059415778046,851.719739816153,5.81902664623812,0.473595887435332
