"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",1999,460.822136627352,118.178749706061,1796.91393024534,6.1330121477837,0.694305534300163,"index"
"Coastwide",2000,1047.47456298489,367.828167315351,2982.92261875561,6.9541373679548,0.533949339749415,"index"
"Coastwide",2001,5636.36002504983,2221.68196544598,14299.3258378467,8.63699375051169,0.474995422243401,"index"
"Coastwide",2002,1764.82541039625,758.675821364712,4105.32224893858,7.47580704685221,0.430738768763562,"index"
"OR",1999,27.6424538492436,5.66583858414739,134.861811444024,3.31935277387505,0.808636216724415,"index"
"OR",2000,68.580490135946,13.3004836550191,353.617488602511,4.22800809393175,0.83685603779659,"index"
"OR",2001,427.645308463353,91.7037388052277,1994.25358478722,6.05829413346118,0.785591467514322,"index"
"OR",2002,118.071635720039,24.7059378668593,564.273707670328,4.77129152263891,0.798100332846371,"index"
"CA",1999,433.179682778108,107.861426988234,1739.6825057044,6.07115261369944,0.709352470168025,"index"
"CA",2000,978.894072848943,337.61164716343,2838.27176553223,6.8864234373394,0.543136090110781,"index"
"CA",2001,5208.71471658648,2004.43193707606,13535.3605662267,8.55808840884023,0.487239786001141,"index"
"CA",2002,1646.75377467622,695.193244521321,3900.78300642521,7.40656121971567,0.439993474334646,"index"
"North of Cape Mendocino",1999,62.785056891385,14.7463665058256,267.317604461897,4.13971709757072,0.739156635094648,"index"
"North of Cape Mendocino",2000,152.268255422548,50.7697478992501,456.681834533373,5.02564380365526,0.560389450478412,"index"
"North of Cape Mendocino",2001,909.336238524628,301.544694896688,2742.1885003728,6.8127149251486,0.563171918920265,"index"
"North of Cape Mendocino",2002,260.58810386955,83.0504816267592,817.649200199795,5.56294101464477,0.583425199842181,"index"
"South of Cape Mendocino",1999,398.037079735966,96.2605192960579,1645.8826318759,5.98654516611058,0.724241322148606,"index"
"South of Cape Mendocino",2000,895.206307562341,288.76109002928,2775.28503933178,6.79705420295406,0.577283329567556,"index"
"South of Cape Mendocino",2001,4727.0237865252,1723.9630070356,12961.2722472494,8.46105106283583,0.514637043044994,"index"
"South of Cape Mendocino",2002,1504.23730652671,606.112415841466,3733.185157089,7.31604127565815,0.463771686252246,"index"
"North of Monterey Bay",1999,225.152225315726,70.2346679649193,721.773534829605,5.41677673040172,0.594365358142456,"index"
"North of Monterey Bay",2000,505.922376680905,222.353976026759,1151.12603696213,6.22638325175063,0.419452938727533,"index"
"North of Monterey Bay",2001,2693.53783754343,1319.74806222635,5497.37202874844,7.89861078974549,0.36399375700706,"index"
"North of Monterey Bay",2002,850.516477305478,365.214555644275,1980.69399751061,6.74584378531724,0.431313425869329,"index"
"South of Monterey Bay",1999,235.669911311625,38.1369510673895,1456.33842095786,5.46243214507552,0.929225487312682,"index"
"South of Monterey Bay",2000,541.552186303984,114.422095843839,2563.13055907388,6.29443943539664,0.793149895546593,"index"
"South of Monterey Bay",2001,2942.82218750641,707.861434753076,12234.3187551967,7.98712432762001,0.72699089266208,"index"
"South of Monterey Bay",2002,914.308933090782,253.636547726983,3295.90050259414,6.81816851553803,0.65422946433215,"index"
