"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",2003,68496.415182236,42984.6935847368,109149.525134296,11.1345366897748,0.237727491571262,"index"
"Coastwide",2004,128314.715088978,79149.8410559053,208018.940893847,11.7622412368484,0.24650615189352,"index"
"Coastwide",2005,122976.193841879,76288.5831223355,198236.009018335,11.7197460696211,0.243610341177109,"index"
"Coastwide",2006,68608.2039287294,42499.297703638,110756.786597986,11.1361673973614,0.244353759040152,"index"
"Coastwide",2007,102930.481625299,60970.2180654658,173768.183611222,11.5418091036634,0.267182617790901,"index"
"Coastwide",2008,33976.4407645426,21204.463405216,54441.2987476262,10.4334226447293,0.240543026283169,"index"
"Coastwide",2009,41298.1441128365,25343.9818679738,67295.5305937872,10.6285728412042,0.249125119583039,"index"
"Coastwide",2010,33869.3290207374,21766.2067357068,52702.4052580154,10.4302651351856,0.225591512068337,"index"
"Coastwide",2011,38625.3527899281,24302.0356896996,61390.6545606282,10.5616641478782,0.236406766896976,"index"
"Coastwide",2012,43159.5915638411,27913.189104891,66733.6984304378,10.6726599560243,0.222353765466652,"index"
"Coastwide",2013,63071.8712200283,40192.9925342339,98973.9924392932,11.0520301681573,0.229893114040755,"index"
"Coastwide",2014,54173.5208310505,35922.4334404299,81697.426319934,10.8999475224979,0.209611125256682,"index"
"Coastwide",2015,52023.3143031029,33251.2860625282,81393.0993823837,10.8594472490666,0.2283707908354,"index"
"Coastwide",2016,82648.2282923563,55254.8311734687,123622.305865361,11.3223486667503,0.205431126446881,"index"
"Coastwide",2017,88417.985709744,54307.7549002728,143952.557260459,11.3898306861859,0.248682311747957,"index"
"Coastwide",2018,109752.407652555,70232.9090149501,171509.213479518,11.6059822683055,0.227764388669119,"index"
"Coastwide",2019,84987.587243763,47191.6615798926,153054.369007294,11.3502604923824,0.300152453054485,"index"
"Coastwide",2021,55472.7547054293,37015.2050364517,83134.1204669365,10.9236472729921,0.206413598434135,"index"
"Coastwide",2022,43188.7262836082,28122.0840541595,66327.4483643589,10.6733347745175,0.218893980626257,"index"
"Coastwide",2023,63315.8759099491,39614.4874052437,101197.829501977,11.0558913809507,0.239260114341279,"index"
"Coastwide",2024,60442.8713725726,40457.3814958148,90300.9677020074,11.0094539230771,0.204824953907284,"index"
"WA",2003,14.9364376347713,1.42765672283783,156.268075965734,2.70380370647777,1.19786347103682,"index"
"WA",2004,32.53492472288,3.03121565121851,349.206868966236,3.4823141192169,1.21091529939066,"index"
"WA",2005,22.5955719805901,2.18932012689321,233.204759257637,3.11775395701906,1.19092132515753,"index"
"WA",2006,10.1112783315772,0.976674545045827,104.679649958344,2.31365146733173,1.19249806876021,"index"
"WA",2007,15.1426242465868,1.47115000384156,155.863826580945,2.7175135649961,1.18954693703895,"index"
"WA",2008,4.80503415725894,0.47071899785131,49.0491213607618,1.56966415108771,1.18530653621887,"index"
"WA",2009,6.42831461261007,0.632406571389072,65.3428199962096,1.86071239076747,1.18315193114207,"index"
"WA",2010,5.88347117552458,0.572634610963734,60.4490759211563,1.77214692370437,1.18862100781011,"index"
"WA",2011,8.90567666431165,0.857756362402144,92.4634084055695,2.18668890086337,1.19396279678844,"index"
"WA",2012,9.65883086235032,0.954461782313736,97.7441060042624,2.26787261215765,1.18087898885625,"index"
"WA",2013,22.9922755026482,2.05073794635038,257.782684389532,3.13515831180873,1.23316480744986,"index"
"WA",2014,14.1464680807683,1.32789564737708,150.706540499239,2.64946498733317,1.20709846548733,"index"
"WA",2015,11.614884167806,1.11611661438706,120.870465050496,2.45228739353433,1.19514034968636,"index"
"WA",2016,18.948605884639,1.83020127680142,196.180425356754,2.94173036072924,1.19252416423835,"index"
"WA",2017,18.6415837083435,1.80297279781337,192.742033366579,2.92539476854227,1.19183716131584,"index"
